Cluster Name,Frequency,Questions Count,Questions
New student orientation and support,3491,7,"Solutions technology new student
Solutions technology notyeta student
Solutions common technology student
New student
For new students
For first time students
Solutions technology new students"
Registration,2584,4,"Registration
Register
Regist
Sign up"
Student experiences and education,1258,3,"Solutions technology wasa student
Student
For student"
Academic calendar,808,11,"Academic calendar
Academic calender
Academic calander
Achademic calander
Show me the academy calendar
Academics calander
Academic calemdar
Academic calader
Where is the academic calendar for 2024
Academic calandar
Academic calendar for 2024"
First-time login or sign-in process,756,7,"Solutions signon first time
I need to signin for the first time
How do i sign in for the first time
Log in for the first time
How to login for the first time
Sign in for the first time
How do i sign in to sign on for the first time"
Registering as a new student,725,2,"I am a new first time student how do i register
No im going into my second year of grad school how do i register"
Transcript services,680,2,"Solutions transcript
Solutions unofficial transcript"
Logging in as a new student,557,3,"Solutions signon first time student
As new students how to login
How to log in to sign on as a new student"
Greeting and general conversation,513,116,"Hi
Hello
Hi johnny
Good morning
Good afternoon
Hey
Good evening
Hey johnny
Hi there
How are you
Nothing
Hola
Hy
I did that
Hello johnny
Greetings
Hi good morning
Yea
Good evening sorry to bother you
Whats up
Ho
Hii
Hi sir
Hi johhny
I tried that
Good day
Noo
Hola papi
Whats good
Hello there
How yo
Goodmorning
Good morning and god bless you
Good morning sorry to bother you
How is ur day
Hello i
Hey there johnny boy
Excuse me
How are you johnny
Hi johny
Hi im a parent of a johnny
Good afternoon im sorry to bother you
Soy estudiante internacional
Bro how
Good afternoon sorry to bother you
Hey johhny
In the morning
Helllo
Hello dear
Hope you are well
Umm how are you
Good evening sorry to bother
Hello jhonny
Hi i am sorry to bother
Bolsas
Hi dear
None of these
Yes or no
Whatsbup
How are you today
What are you doing
Hey friend
Heres johnny
Hiii
Hi bro
Hi sorry to bother
Say hi
How has your day been so far
Hey there
Hey john
Hola moy biene
Hlo
Ahm
Answer my question
Is in the morning
Hi jhonny
Hii there
Hey vro
Hello sir
Hi i
Quiero inscribirme para el curso de ingles gratis
Dear
Sup dawg
Hola buenos dias
Hello answer me
Hellow
Hey whats up
Hey johnny im saym
Heyy
Hican
Cuanto cuesta
Sup
Yes johnny how are you doing today
Hi jonnny
Hows ur day
Hello good day
Hi i have some questions
Hey have a good day
Hey you
Never mind
I did that already
What is hrloa
Alright buddy boy
Httpswwwstjohnsedu
Hello johhny
Bro
Good day jonny
Yes hi johnny
I tried
My day is good wbu
Hello cutie pie
Buenas tardes
Hi johnny how are you doing
Hey jhonny
Hey man
Nice to meet you too"
Live chat support,511,12,"Live chat
Livechat
Chat
Live cht
Life chat
Ive chatl
Loive chat
Live chate
Live chat about something else
Live chat please
I want live chat
Talk to chat"
Asking questions,505,13,"I have a question
I have another question
I have a quick question
Quick question
Question
Another question
Can i ask a question
I have quick question
I have one more question
No no question
I got a question
Ive got another question
May i ask you another question"
Alumni email addresses and requests,470,2,"Solutions alumni email
Alumni email"
