Question,Count,Answered,Rating
help with stormcard,31,true,
it support,6,true,
how do i connect my smart speaker to wifi,1,true,
how do i reset my password,4,true,
how do i update my multifactor authentication mfa for signonstjohnsedu,1,true,
logging in to signon portal for the first time,1,true,
i have a new phone or a new phone number to use for my security information for multifactor authentication how do i change it,14,true,
hello,109,true,
how do i locate my stormcard id number,8,true,
how can i get into my signon account if no passwords work,2,true,
i cant get into my signon account,2,true,
im unable to get access to my signon,1,true,
i cannot sign into my st johns signon account,1,true,
none of my passwords are working,1,true,
how do i connect to the wifi,5,true,
how do i get wifi access,1,true,
how do i get wifi for gaming consoles,1,true,
how do i contact nicholas skrotzki,1,true,
hi there i need to update the phone i use for okta verification,1,false,
my email noradeysy23mystjohnsedu does not let me in,1,true,
speak to a real person,1,true,
i left st johns in 2021 i need my transcript but may username and password dont work anymore,1,false,
unlocking account,6,true,
former student locked out,1,true,
former student locked out of accounts,1,true,
i am not getting sms,1,false,
former student,5,true,
are you related to johnny 5,1,true,bad
who is the provost,1,true,good
who is the cio,1,true,bad
where can i find scholarships,2,true,
how do i withdraw from a course,2,true,
when is commencement,19,true,
how can i get graduation regalia,1,false,
what is the last day to drop,1,true,bad
how much does ivyai cost,1,true,bad
are you run by ivyai,1,true,bad
who created you,1,false,
what is the application deadline,3,true,
when do finals start,1,false,
do you know alexa,1,false,
i am a former student and i cant access my account,1,true,
im locked out of my account,8,true,
how do i unlock my account,13,true,
i am a former student and i am locked out of my account,1,true,
i am a former student and i cant get into my signon account,1,true,
i need help i am locked out of my account i am a former student can you help me get my uis account,1,false,
alumni signing in for firtt time,1,true,
i do not have account,1,false,
i do not remember my login,1,true,
i cant unlock my account,4,true,
it isnt sending me a code to change my password,1,false,
my account is locked and i cannot access the phone number i used,1,false,
i was never able to set up my password,1,true,
i no longer have acces to my phone number on sign on,1,false,
i no longer have access to my sign on number and cant verifiy its me login in,1,false,
it wont let me sign in even after unlocking the account what should i do,1,true,
i graduated 4 years ago do i still have access to my email,1,true,
my phone number changed and i need to log in,1,false,
need transcript,2,true,
reset uis pass,1,false,
connecting to guest wifi,1,true,
password,8,true,
how to sign in after a name change,1,false,
i want to make a account in st john,1,true,
how to make account in this website to log in,1,true,
what are the current mathematics programs at st johns,2,true,
i have a question,412,true,
my account is locked,19,true,
locked out of canvas,1,false,
live person,4,true,
my name is allison krampf,1,true,bad
accepted students day,4,true,
unlock account not working,1,true,
lost my phone cant get into sign on,1,false,
mfa not working,1,true,
can i speak to a live person please,1,true,
how do i make a st johns account,1,true,
password reset,6,true,
cant unlock account,1,true,
is that supposed to be a link,1,true,bad
how do i set up an sms plan,1,true,
how do i configure my phone number,2,false,
i thought i was submitting a ticket,1,true,
how can i talk to a real person,1,true,
i cant log into my st johns email,1,true,
it is saying my password question answer is wrong,1,false,
recover st johns account,1,true,
im a legacy student how can i recover my old st johns account,1,false,
i need urgent help i want to talk with human,1,true,
i need to talk with a human,1,true,
find my h drive,1,true,
i cant log in to uis,2,true,
login,15,true,
doesnt make me login,1,true,
i need to login into my account,1,true,
