Rank,Question,Bot Response,Confidence
1,i want to know how to apply,"To apply to **St. John's University**, follow the instructions listed [here](https://www.stjohns.edu/admission/apply).",high
2,when is the deadline for application,"Point to: ""solutions deadlines""",high
3,what are the requirements for admission,"Undergraduate Application

Graduate Application",high
4,i would like to speak to someone in admissions,"Who do you want to speak to?

You can contact the Office of Undergraduate Admission at:

<br/>Phone: [718-990-2000](tel:7189902000)
<br/>Email: [admhelp@stjohns.edu](mailto:admhelp@stjohns.edu)

You can contact the Office of Graduate Admissions at:

<br/>Phone: [718-990-1601](tel:7189901601)
<br/>Email: [gradhelp@stjohns.edu](mailto:gradhelp@stjohns.edu)

You can contact Transfer Admissions at:

<br/>Phone: [718-990-2051](tel:7189902051)
<br/>Email: [transfers@stjohns.edu](mailto:transfers@stjohns.edu)

Undergraduate Admissions

Graduate Admissions

Transfer Admissions",high
5,i want to know the status of my application,"Point to: ""application status portal""",high
6,is there an application fee,"The online application for all 100+ undergraduate programs at St. John's University is free. Graduate applications carry a low cost for most programs, but the application fee of $70 is waived for all applicants. To ensure the fee is waived, contact the Office of Graduate Admission at 718-990-1601 or [gradhelp@stjohns.edu](mailto:gradhelp@stjohns.edu).",high
7,what is the gpa requirments,"The GPA requirements for admission to St. John's University vary by program. For the Master of Arts in English, an undergraduate GPA of at least 3.0 is required, with a 3.5 GPA in English courses. For the Bachelor of Arts / Master of Arts in Psychology, a cumulative and major GPA of 3.25 is required.",high
8,admissiosn,"To apply to **St. John's University**, follow the instructions listed [here](https://www.stjohns.edu/admission/apply).",high
9,what are the requirments,"Point to: ""solutions requirements""",high
10,what are the requirements to apply,"Point to: ""solutions requirements""",high
11,what is the email address for the admissions office,"Who do you want to speak to?

You can contact the Office of Undergraduate Admission at:

<br/>Phone: [718-990-2000](tel:7189902000)
<br/>Email: [admhelp@stjohns.edu](mailto:admhelp@stjohns.edu)

You can contact the Office of Graduate Admissions at:

<br/>Phone: [718-990-1601](tel:7189901601)
<br/>Email: [gradhelp@stjohns.edu](mailto:gradhelp@stjohns.edu)

You can contact Transfer Admissions at:

<br/>Phone: [718-990-2051](tel:7189902051)
<br/>Email: [transfers@stjohns.edu](mailto:transfers@stjohns.edu)

Undergraduate Admissions

Graduate Admissions

Transfer Admissions",high
12,how long does it take to get an admission decision,,low
13,where can i find the majors,I see that you are getting frustrated. Please rephrase as a single concise question.,high
14,applicatoin,"To apply to **St. John's University**, follow the instructions listed [here](https://www.stjohns.edu/admission/apply).",high
15,international studfents,"The application requirements for international students at St. John's University include:

- Official or unofficial college transcripts.
- Official high school transcript with the date of graduation, required if you do not have an associate degree.
- A ""Statement of Activity"" if there is a gap in your education years.
- Certain programs may have additional application requirements, so it's important to check if your program has specific needs.
- Essay and recommendation letters are recommended for most undergraduates and required for the Pharmacy program.

For more information or questions, international students can contact the university at [intladm@stjohns.edu](mailto:intladm@stjohns.edu).",high
16,tours,"Point to: ""solutions tours""",high
17,what is the phone number to admissions office,"Who do you want to speak to?

You can contact the Office of Undergraduate Admission at:

<br/>Phone: [718-990-2000](tel:7189902000)
<br/>Email: [admhelp@stjohns.edu](mailto:admhelp@stjohns.edu)

You can contact the Office of Graduate Admissions at:

<br/>Phone: [718-990-1601](tel:7189901601)
<br/>Email: [gradhelp@stjohns.edu](mailto:gradhelp@stjohns.edu)

You can contact Transfer Admissions at:

<br/>Phone: [718-990-2051](tel:7189902051)
<br/>Email: [transfers@stjohns.edu](mailto:transfers@stjohns.edu)

Undergraduate Admissions

Graduate Admissions

Transfer Admissions",high
18,i am an internatinal student,"If you are an international student, you can schedule an appointment with an international student advisor through the [International Student and Scholar Services](https://www.stjohns.edu/admission/international-admission/international-student-and-scholar-services). Additionally, you can participate in the International Student Orientation on January 21, 2025, to learn more about campus life, your academic program, and ways to get involved. You can register for the orientation [here](https://www.stjohns.edu/orientation%20). For more resources, visit the St. John’s University Virtual International Student Resource Center, which offers information on succeeding as a college student, getting involved on campus, and living and working in New York.",high
19,how much is the application fee,"Point to: ""fee waiver""",high
20,what is the deadline to apply for the fall semester,"St. John's University honors a rolling admission policy, meaning applications are considered throughout the year as long as space is available. However, for priority consideration, students are encouraged to apply by the Early Action deadline of December 1. Specific program deadlines for the fall semester include:

- Psychology (Ph.D., Psy.D., M.S.): January 15
- Speech Pathology and Audiology (M.A.): February 1
- College of Pharmacy and Allied Health Professions (M.S., Ph.D.): April 1
- Pharm.D./Practitioner’s Option: March 15
- The Peter J. Tobin College of Business (M.B.A.): May 1 (recommended)
- The School of Education (Ed.D., M.S.Ed.): April 15
- International Students: May 1

Applications to the Pharmacy and Bio-Optometry programs are only accepted for fall semester admission.",high
