Rank,Question,Bot Response,Confidence
1,solutions technology new student,"**Welcome to St. John's University**

**[SignOn:](https://signon.stjohns.edu)** 

<br/>Use it to identify yourself and access internet services.  Your username will be in the format of firstname.lastnameYY@my.stjohns.edu (ex: jane.doe21@my.stjohns.edu).  

**[Email:](https://outlook.office.com/owa/)** 

<br/>A Microsoft Office 365 email account has been created for you.  Just connect to [SignOn](https://signon.stjohns.edu/) and then click on Office 365 Mail.

[**Connect**](https://connect.stjohns.edu) is the University's internal information portal - also on [Apple](https://apps.apple.com/us/app/sju-connect/id1623710314) and [Android](https://play.google.com/store/apps/details?id=com.ucroo.stjohns)

For more general information, visit the [New Student Guide Checklist](https://www.stjohns.edu/admission/undergraduate-admission/new-student-guide-checklist).

General Information

Logging into Signon for the First Time

Help with Wifi

Point to: ""solutions signon first time student""

Point to: ""Solutions wifi""",high
17,live agent,"Point to: ""solutions agent""",high
22,solutions application,"To apply to **St. John's University**, follow the instructions listed [here](https://www.stjohns.edu/admission/apply).",high
23,solutions common technology employee,"**Welcome to St. John's University**

What do you need help with?

Here are some quick choices:
- [General SignOn Information](https://ithelp.stjohns.edu/support/solutions/articles/16000010232)  or [Video] (https://www.youtube.com/watch?v=Dl4OnF7nlrE)<br/>
- [Changing your password information](https://ithelp.stjohns.edu/support/solutions/articles/16000016496-how-do-i-change-my-email-password-or-security-information-mfa-for-signon-stjohns-edu-) or [Video](https://www.youtube.com/watch?v=npapsg6TTm0)
- [Resetting your password information](https://ithelp.stjohns.edu/support/solutions/articles/16000016145) or [Video](https://www.youtube.com/watch?v=bPZI6iF6aVo)
- [Setting up Multi-factor Authentication information](https://ithelp.stjohns.edu/a/solutions/articles/16000016496) or [video](https://www.youtube.com/watch?v=uTqNhA7ss9k)

Students, Faculty, Administrators, and Staff should use
[SJUMobile](https://ithelp.stjohns.edu/support/solutions/articles/16000015825).
<br/><br/>
Guests should use 
[SJUGuest.](https://ithelp.stjohns.edu/support/solutions/articles/16000032592)

If you are interested in connecting your **Console** or **Smart Speakers**, visit the [Gaming Connect page.](https://ithelp.stjohns.edu/support/solutions/articles/16000016013)

IT Appointments can be made by visiting the [Appointments page.](https://outlook.office365.com/owa/calendar/ITServiceCenter1@mystjohns.onmicrosoft.com/bookings/)

If something is not working as expected, you can open a ticket for a problem at the [ticketing page](https://ithelp.stjohns.edu/support/tickets/new).
<br/><br/>
If you need access or new hardware you can browse our [Service Catalog](https://ithelp.stjohns.edu/support/catalog/items) and request service.

Ellucian On-Demand Training

Help with SignOn

Connecting to WiFi

Wireless Printing

Make an IT Appointment

Request IT Help

Point to: ""solutions printing""",high
24,request transcript,"Point to: ""request transcript""",high
25,cant log in,"Point to: ""solutions signon first time""",high
26,solutions unlock account,"To unlock your account follow the instructions [here](https://ithelp.stjohns.edu/support/solutions/articles/16000043317-how-do-i-unlock-my-account-for-signon-stjohns-edu-).

<br/>Click on the **Unlock** link at the bottom of the [SignOn](https://signon.stjohns.edu/) portal and follow the provided instructions.

https://attachment.freshservice.com/inline/attachment?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MTYwMTQxOTU1MzUsImRvbWFpbiI6InN0am9obnN1bml2ZXJzaXR5LmZyZXNoc2VydmljZS5jb20iLCJ0eXBlIjoxfQ.7iam1zYwQMJlmGa_rmOj4vNkYCFvHjOM4IfMWuvbIu0

SignOn Portal

https://signon.stjohns.edu/

If you need further assistance, please give the Service Desk a call at [718-990-5000](tel:718-990-5000). After verifying your identity, we can help you unlock your account. Our business hours are Mon - Fri, 7:30 AM to 7:30 PM.",high
27,how much is tuition,"Point to: ""solutions tuition""",high
28,sorry to bother you,"Great, how can I help you?",high
29,sso,"The single sign-on (SSO) process at St. John's University involves using the OKTA system. Users need to enter their OKTA/St. John’s credentials, similar to the process at ""signon.stjohns.edu"". This system allows the University Community to stay connected and access various resources, including St. John's Connect and the University Information System (UIS). For securing forms, users navigate to the Form’s Settings tab, select ""Security"", choose ""Single Sign-On (SSO)"" under ""Form Password"", and then select ""SignOn Connection (SAML 2.0)"" for form authentication.",high
30,good morning my name is blake blackwell,,none
31,solutions reset mfa,"Follow the instructions [here](https://ithelp.stjohns.edu/support/solutions/articles/16000016496) on how to update your MFA.

If you need further assistance, please give the Service Desk a call at [718-990-5000](tel:718-990-5000). After verifying your identity, we can help you reset your MFA. Our business hours are Mon - Fri, 7:30 AM to 7:30 PM.",high
32,yes,,low
